date, Generation forecast, System load forecast,OT
2011/1/15 2:00,62034,59400,21.781
2011/1/15 3:00,61050,55700,15.187
2011/1/15 4:00,60333,53600,14.635
2011/1/15 5:00,61233,52800,15.295
2011/1/15 6:00,61325,53900,17.107
2011/1/15 7:00,62433,56400,40.604
2011/1/15 8:00,64200,60400,49.04
2011/1/15 9:00,66213,62000,53.12
2011/1/15 10:00,66890,63800,53.197
2011/1/15 11:00,65982,64300,52.99
2011/1/15 12:00,65643,64900,53.895
2011/1/15 13:00,64980,66400,47.792
2011/1/15 14:00,63067,62600,45
2011/1/15 15:00,62029,59800,43.28
2011/1/15 16:00,61838,58400,42.419
2011/1/15 17:00,63862,58600,49.138
2011/1/15 18:00,68361,64100,63.206
2011/1/15 19:00,68079,66400,56.19
2011/1/15 20:00,65862,65100,44.96
2011/1/15 21:00,63868,62100,37.43
2011/1/15 22:00,62986,59800,43.78
2011/1/15 23:00,62837,63800,36.788
2011/1/16 0:00,61281,61500,21.324
2011/1/16 1:00,60390,57700,18.542
2011/1/16 2:00,58835,57400,14.99
2011/1/16 3:00,57669,53800,10.064
2011/1/16 4:00,56059,51300,10.201
2011/1/16 5:00,56169,50500,11.576
2011/1/16 6:00,56397,50600,10.174
2011/1/16 7:00,58046,51500,10.197
2011/1/16 8:00,60081,53300,16.596
2011/1/16 9:00,61348,54600,27.898
2011/1/16 10:00,63490,57000,39.94
2011/1/16 11:00,63913,58400,45.12
2011/1/16 12:00,63909,59600,45.107
2011/1/16 13:00,63563,61400,35.134
2011/1/16 14:00,61896,56400,25.448
2011/1/16 15:00,61752,54000,23.928
2011/1/16 16:00,61683,52400,31.983
2011/1/16 17:00,63425,53900,39.509
2011/1/16 18:00,68474,59800,64.153
2011/1/16 19:00,68475,64200,64.996
2011/1/16 20:00,66395,64900,55.151
2011/1/16 21:00,64097,62100,49.315
2011/1/16 22:00,63693,59900,51.309
2011/1/16 23:00,63185,63000,46.139
2011/1/17 0:00,61984,60700,22.727
2011/1/17 1:00,61334,56900,16.748
2011/1/17 2:00,61624,57400,17.102
2011/1/17 3:00,61236,54800,12.72
2011/1/17 4:00,61426,52900,14.869
2011/1/17 5:00,61775,53800,23.529
2011/1/17 6:00,64756,57900,45.476
2011/1/17 7:00,69467,65600,62.43
2011/1/17 8:00,71584,71500,65.906
2011/1/17 9:00,71478,71800,61.187
2011/1/17 10:00,72047,71500,58.618
2011/1/17 11:00,72230,71400,59.904
2011/1/17 12:00,71938,71900,60.137
2011/1/17 13:00,71513,72400,58.397
2011/1/17 14:00,70375,69800,52.541
2011/1/17 15:00,69048,68000,52.928
2011/1/17 16:00,69584,66800,58.517
2011/1/17 17:00,72282,67600,67.263
2011/1/17 18:00,73486,73200,68.359
2011/1/17 19:00,73338,76900,65.968
2011/1/17 20:00,70342,73800,60.204
2011/1/17 21:00,68138,69200,51.239
2011/1/17 22:00,66962,65800,50.891
2011/1/17 23:00,66049,68800,48.922
2011/1/18 0:00,65333,65900,37.652
2011/1/18 1:00,64260,61900,37.28
2011/1/18 2:00,64005,62100,34.944
2011/1/18 3:00,63214,59500,25.305
2011/1/18 4:00,62776,57300,28.799
2011/1/18 5:00,63315,57700,40.49
2011/1/18 6:00,64479,61800,45.24
2011/1/18 7:00,68836,69100,59.596
2011/1/18 8:00,71905,74900,63.27
2011/1/18 9:00,72146,75100,61.629
2011/1/18 10:00,72539,75100,63.317
2011/1/18 11:00,73008,74800,63.578
2011/1/18 12:00,72506,75500,62.888
2011/1/18 13:00,72654,76000,62.357
2011/1/18 14:00,71545,73800,59.371
2011/1/18 15:00,70954,71900,55.973
2011/1/18 16:00,71085,71000,59.065
2011/1/18 17:00,73559,71400,67.896
2011/1/18 18:00,75632,75900,69.082
2011/1/18 19:00,76146,79000,66.98
2011/1/18 20:00,72181,76100,60.097
2011/1/18 21:00,69839,71600,50.014
2011/1/18 22:00,68559,68000,49.745
2011/1/18 23:00,68268,70600,45.892
2011/1/19 0:00,67917,68000,47.14
2011/1/19 1:00,67464,63800,45.438
2011/1/19 2:00,67564,64100,43.01
2011/1/19 3:00,65930,61600,38.894
2011/1/19 4:00,66587,59300,40.103
2011/1/19 5:00,67196,60000,46.279
2011/1/19 6:00,68629,64000,49.51
2011/1/19 7:00,73816,70800,65.057
2011/1/19 8:00,76208,76200,66.502
2011/1/19 9:00,76666,77600,66.09
2011/1/19 10:00,76136,78200,65.911
2011/1/19 11:00,76051,78500,65.997
2011/1/19 12:00,75203,79400,65.502
2011/1/19 13:00,74310,80100,65.003
2011/1/19 14:00,73588,78200,62.944
2011/1/19 15:00,72304,76100,61.083
2011/1/19 16:00,72463,74800,61.194
2011/1/19 17:00,75000,75300,66.882
2011/1/19 18:00,77871,79700,69.22
2011/1/19 19:00,77785,83300,66.464
2011/1/19 20:00,74637,80200,61.188
2011/1/19 21:00,71474,75600,51.11
2011/1/19 22:00,71199,71500,52.003
2011/1/19 23:00,70487,74600,48.854
2011/1/20 0:00,69463,72100,43.09
2011/1/20 1:00,68381,67700,42.628
2011/1/20 2:00,68389,67800,42.597
2011/1/20 3:00,67488,65800,40.059
2011/1/20 4:00,66900,63500,39.96
2011/1/20 5:00,68012,64000,41.773
2011/1/20 6:00,69870,67900,48
2011/1/20 7:00,74970,75300,63.3
2011/1/20 8:00,76968,80600,66.085
2011/1/20 9:00,76682,80100,66.083
2011/1/20 10:00,76232,80100,65.826
2011/1/20 11:00,76601,80200,65.632
2011/1/20 12:00,75242,80900,64.934
2011/1/20 13:00,74937,80300,63.842
2011/1/20 14:00,74650,78900,61.74
2011/1/20 15:00,74480,76700,60.314
2011/1/20 16:00,75264,75500,61.804
2011/1/20 17:00,77122,75500,66.609
2011/1/20 18:00,79795,81300,69.734
2011/1/20 19:00,78433,84800,66.832
2011/1/20 20:00,75238,82800,63.71
2011/1/20 21:00,72141,77700,53.023
2011/1/20 22:00,71477,73600,52.599
2011/1/20 23:00,71764,77000,48.461
2011/1/21 0:00,69736,74100,46.04
2011/1/21 1:00,68971,70100,45.3
2011/1/21 2:00,68891,70700,44.882
2011/1/21 3:00,68734,68300,42.651
2011/1/21 4:00,67578,66400,42.089
2011/1/21 5:00,68273,67100,45.705
2011/1/21 6:00,71124,71100,50.833
2011/1/21 7:00,76918,78500,64.034
2011/1/21 8:00,78535,84400,66.608
2011/1/21 9:00,78357,83700,66.23
2011/1/21 10:00,78144,83700,66
2011/1/21 11:00,78531,83500,65.212
2011/1/21 12:00,77379,83200,64.52
2011/1/21 13:00,77182,83100,62.982
2011/1/21 14:00,75686,80700,60.173
2011/1/21 15:00,74113,78400,56.187
2011/1/21 16:00,75523,77000,62.074
2011/1/21 17:00,77944,77300,66.126
2011/1/21 18:00,80080,82500,67.846
2011/1/21 19:00,79526,85600,66.273
2011/1/21 20:00,76137,82600,60.807
2011/1/21 21:00,73571,78800,54.99
2011/1/21 22:00,73501,75500,56.962
2011/1/21 23:00,73773,78800,54.328
2011/1/22 0:00,71991,76600,50.069
2011/1/22 1:00,69799,71800,48.181
2011/1/22 2:00,70041,72400,46.854
2011/1/22 3:00,68877,69400,45.032
2011/1/22 4:00,66803,67300,44.46
2011/1/22 5:00,67190,66500,46.685
2011/1/22 6:00,67073,67800,44.93
2011/1/22 7:00,67816,71100,46.68
2011/1/22 8:00,69706,74700,51.39
2011/1/22 9:00,72509,76400,58.001
2011/1/22 10:00,73784,78400,60.384
2011/1/22 11:00,73721,78300,61.038
2011/1/22 12:00,74042,78500,61.098
2011/1/22 13:00,73030,79500,59.118
2011/1/22 14:00,71008,75500,53
2011/1/22 15:00,70293,72500,50.55
2011/1/22 16:00,70554,71000,50.119
2011/1/22 17:00,73298,70800,63.099
2011/1/22 18:00,74721,76500,64.804
2011/1/22 19:00,75290,79800,62.621
2011/1/22 20:00,73201,77800,59.174
2011/1/22 21:00,70113,74900,53.132
2011/1/22 22:00,71141,72700,58.794
2011/1/22 23:00,70693,76700,52.976
2011/1/23 0:00,69277,75100,51.092
2011/1/23 1:00,67655,71100,53.022
2011/1/23 2:00,66874,71200,47.685
2011/1/23 3:00,65657,68000,42.907
2011/1/23 4:00,65336,65300,39.96
2011/1/23 5:00,65500,64400,35.401
2011/1/23 6:00,65104,64700,31.081
2011/1/23 7:00,64206,66400,42.61
2011/1/23 8:00,65346,68400,45.761
2011/1/23 9:00,67823,70000,48.959
2011/1/23 10:00,69277,72900,51.293
2011/1/23 11:00,70154,74400,53.187
2011/1/23 12:00,71017,75100,54.429
2011/1/23 13:00,69270,76600,49.852
2011/1/23 14:00,67647,71400,45.296
2011/1/23 15:00,67901,68600,42.977
2011/1/23 16:00,67738,66900,43.93
2011/1/23 17:00,69431,68200,55.668
2011/1/23 18:00,73291,73900,63.722
2011/1/23 19:00,74355,78500,63.413
2011/1/23 20:00,72675,77400,60.078
2011/1/23 21:00,70217,75100,53.256
2011/1/23 22:00,69456,72800,53.98
2011/1/23 23:00,68023,75900,51.393
2011/1/24 0:00,67809,74800,48.155
2011/1/24 1:00,66285,69600,47.469
2011/1/24 2:00,66384,70600,45.821
2011/1/24 3:00,65657,67900,43.539
2011/1/24 4:00,65669,65600,42.392
2011/1/24 5:00,66362,66500,44.915
2011/1/24 6:00,70404,70600,57.167
2011/1/24 7:00,74233,78100,68.291
2011/1/24 8:00,76309,83900,67.005
2011/1/24 9:00,76322,84300,66.371
2011/1/24 10:00,75826,84300,66.74
2011/1/24 11:00,75887,83800,65.993
2011/1/24 12:00,75122,83800,66.16
2011/1/24 13:00,74827,83900,64.773
2011/1/24 14:00,74199,81100,63.887
2011/1/24 15:00,73398,78900,63.048
2011/1/24 16:00,73784,77500,63.112
2011/1/24 17:00,74243,78100,66.422
2011/1/24 18:00,78970,83900,74.99
2011/1/24 19:00,78764,88100,69.189
2011/1/24 20:00,76477,83700,64.982
2011/1/24 21:00,72343,79500,54.542
2011/1/24 22:00,71355,76500,59.426
2011/1/24 23:00,70729,79500,57.272
2011/1/25 0:00,68941,77100,49.702
2011/1/25 1:00,68533,71900,49.287
2011/1/25 2:00,68485,72800,47.52
2011/1/25 3:00,66796,70100,42.02
2011/1/25 4:00,66033,67700,40.822
2011/1/25 5:00,67365,68100,45.334
2011/1/25 6:00,69996,72200,50.84
2011/1/25 7:00,73868,79200,65.727
2011/1/25 8:00,74959,85000,64.93
2011/1/25 9:00,75149,85100,66.508
2011/1/25 10:00,75460,85100,66.185
2011/1/25 11:00,75184,84500,66.255
2011/1/25 12:00,73709,84500,64.009
2011/1/25 13:00,73488,84200,63.997
2011/1/25 14:00,72843,81700,60.576
2011/1/25 15:00,71595,79400,58.702
2011/1/25 16:00,72739,78300,61.182
2011/1/25 17:00,73567,78600,65.161
2011/1/25 18:00,78010,83300,73
2011/1/25 19:00,77160,87200,69.64
2011/1/25 20:00,74615,83200,61.051
2011/1/25 21:00,71093,79200,53.401
2011/1/25 22:00,70254,75800,53.051
2011/1/25 23:00,69869,78800,50.538
2011/1/26 0:00,68153,75900,47.065
2011/1/26 1:00,67484,70900,49.092
2011/1/26 2:00,67276,72500,46.243
2011/1/26 3:00,65972,69500,44.143
2011/1/26 4:00,66014,67100,44.748
2011/1/26 5:00,67062,67600,46.975
2011/1/26 6:00,70344,71400,52.857
2011/1/26 7:00,73746,77900,67.32
2011/1/26 8:00,76613,83300,68.384
2011/1/26 9:00,77058,84500,67.777
2011/1/26 10:00,77463,84600,67.461
2011/1/26 11:00,77951,84200,67.542
2011/1/26 12:00,77376,84200,66.252
2011/1/26 13:00,76429,84000,65.415
2011/1/26 14:00,76239,81700,64.366
2011/1/26 15:00,74471,79300,63.414
2011/1/26 16:00,74084,78400,63.827
2011/1/26 17:00,75142,78600,67.173
2011/1/26 18:00,78071,83200,72.909
2011/1/26 19:00,77918,87500,67.66
2011/1/26 20:00,76273,83300,61.307
2011/1/26 21:00,72430,79000,52.473
2011/1/26 22:00,70928,75600,55.3
2011/1/26 23:00,70186,78700,51.08
2011/1/27 0:00,69372,77100,46.982
2011/1/27 1:00,67537,72300,46.752
2011/1/27 2:00,67412,73200,45.912
2011/1/27 3:00,67154,70700,43.838
2011/1/27 4:00,67264,68300,43.112
2011/1/27 5:00,67458,68700,45.102
2011/1/27 6:00,69745,72300,50.777
2011/1/27 7:00,75685,79700,65.527
2011/1/27 8:00,77123,84900,66.479
2011/1/27 9:00,77163,84300,66.302
2011/1/27 10:00,77295,84100,65.993
2011/1/27 11:00,77109,83800,66.34
2011/1/27 12:00,76913,83700,65.227
2011/1/27 13:00,76682,82900,64.408
2011/1/27 14:00,76138,80900,63.652
2011/1/27 15:00,75452,78600,62.244
2011/1/27 16:00,76008,77300,63.92
2011/1/27 17:00,76881,77600,66.638
2011/1/27 18:00,79474,82900,71.33
2011/1/27 19:00,79199,87200,67.941
2011/1/27 20:00,76277,84000,62.71
2011/1/27 21:00,72308,79700,53.976
2011/1/27 22:00,71827,76000,54.356
2011/1/27 23:00,70394,79400,48.842
2011/1/28 0:00,69177,76800,47.663
2011/1/28 1:00,67707,72600,46.75
2011/1/28 2:00,67460,74200,44.38
2011/1/28 3:00,67603,71400,43.521
2011/1/28 4:00,67569,69200,44.19
2011/1/28 5:00,68290,69700,47.992
2011/1/28 6:00,71169,73400,55.636
2011/1/28 7:00,75314,80700,65.44
2011/1/28 8:00,76239,86100,66.773
2011/1/28 9:00,77118,85700,66.248
2011/1/28 10:00,76965,85700,65.943
2011/1/28 11:00,76341,85300,65.282
2011/1/28 12:00,75588,84700,64.172
2011/1/28 13:00,75016,84300,63.129
2011/1/28 14:00,74441,81600,61.028
2011/1/28 15:00,73850,79300,55.435
2011/1/28 16:00,73410,77600,58.202
2011/1/28 17:00,75184,78100,64.825
2011/1/28 18:00,78667,82900,68.54
2011/1/28 19:00,77655,87000,65.706
2011/1/28 20:00,75695,83700,59.765
2011/1/28 21:00,72817,80000,54.786
2011/1/28 22:00,71751,76800,55.667
2011/1/28 23:00,71722,80400,52.711
2011/1/29 0:00,70244,78600,52.17
2011/1/29 1:00,68756,72800,51.069
2011/1/29 2:00,68185,74500,47.766
2011/1/29 3:00,67428,71000,45.957
2011/1/29 4:00,67302,68700,44.97
2011/1/29 5:00,66923,67500,44.176
2011/1/29 6:00,67315,68700,45.164
2011/1/29 7:00,68030,71300,47.46
2011/1/29 8:00,69737,74300,51.275
2011/1/29 9:00,73078,76400,55.39
2011/1/29 10:00,74550,78200,59.317
2011/1/29 11:00,75129,78100,60.446
2011/1/29 12:00,75220,78200,58.135
2011/1/29 13:00,73819,79000,53.253
2011/1/29 14:00,71934,74900,49.711
2011/1/29 15:00,71215,72100,47.839
2011/1/29 16:00,71454,70200,47.944
2011/1/29 17:00,73169,70300,59.704
2011/1/29 18:00,76484,75200,64.047
2011/1/29 19:00,75815,79600,62.031
2011/1/29 20:00,73610,77700,55.294
2011/1/29 21:00,70640,74700,48.042
2011/1/29 22:00,71074,72600,49.93
2011/1/29 23:00,70805,77100,50.032
2011/1/30 0:00,70158,75900,47.54
2011/1/30 1:00,68834,71700,51.141
2011/1/30 2:00,68027,72600,49.309
2011/1/30 3:00,66154,69200,45.1
2011/1/30 4:00,65417,66700,44.189
2011/1/30 5:00,65399,65500,43.029
2011/1/30 6:00,65019,65800,37.735
2011/1/30 7:00,65698,67100,42.43
2011/1/30 8:00,67334,68500,44.519
2011/1/30 9:00,68172,70500,47.686
2011/1/30 10:00,71017,73300,54.124
2011/1/30 11:00,73184,74800,57.926
2011/1/30 12:00,73197,75600,56.734
2011/1/30 13:00,71057,77000,48.341
2011/1/30 14:00,68994,71600,44.65
2011/1/30 15:00,68712,68500,43.022
2011/1/30 16:00,69388,66800,42.7
2011/1/30 17:00,71048,67800,52.43
2011/1/30 18:00,75327,72900,63.355
2011/1/30 19:00,76973,78600,63.302
2011/1/30 20:00,76096,78800,61.602
2011/1/30 21:00,73531,75800,53.195
2011/1/30 22:00,72585,73400,57.916
2011/1/30 23:00,71635,76900,53.022
2011/1/31 0:00,69065,74600,48.43
2011/1/31 1:00,68582,71400,48.926
2011/1/31 2:00,68633,72900,49.689
2011/1/31 3:00,67451,70300,45.901
2011/1/31 4:00,66806,68200,44.99
2011/1/31 5:00,68234,69000,46
2011/1/31 6:00,71882,73000,58.496
2011/1/31 7:00,75822,79300,69.038
2011/1/31 8:00,77589,84200,69.273
2011/1/31 9:00,78915,84500,67.514
2011/1/31 10:00,79358,84600,65.1
2011/1/31 11:00,78701,84200,64.469
2011/1/31 12:00,77935,84300,63.336
2011/1/31 13:00,78334,84300,62.918
2011/1/31 14:00,77666,81300,62.114
2011/1/31 15:00,76073,78900,61.679
2011/1/31 16:00,75715,77200,61.074
2011/1/31 17:00,78720,77500,67.135
2011/1/31 18:00,80819,82000,113.86
2011/1/31 19:00,81059,87100,82.355
2011/1/31 20:00,78502,83900,66.4
2011/1/31 21:00,75746,79300,61.114
2011/1/31 22:00,74593,75700,61.279
2011/1/31 23:00,74061,79200,53.027
2011/2/1 0:00,72686,77200,52.231
2011/2/1 1:00,71378,74000,52.665
2011/2/1 2:00,71068,76700,51.551
2011/2/1 3:00,69610,74200,46.132
2011/2/1 4:00,69434,71900,45.482
2011/2/1 5:00,70865,72200,48.192
2011/2/1 6:00,72857,76100,57.799
2011/2/1 7:00,77188,82300,71.269
2011/2/1 8:00,78454,86900,76.302
2011/2/1 9:00,78584,86600,70.587
2011/2/1 10:00,78333,86600,68.584
2011/2/1 11:00,79339,85800,67
2011/2/1 12:00,79149,85700,65.995
2011/2/1 13:00,79100,85200,61.728
2011/2/1 14:00,78504,82400,61.014
2011/2/1 15:00,77264,80100,60.055
2011/2/1 16:00,76579,78700,60.364
2011/2/1 17:00,76514,79000,65.551
2011/2/1 18:00,79692,82800,79.329
2011/2/1 19:00,79121,87400,68.822
2011/2/1 20:00,76964,84200,60.814
2011/2/1 21:00,74700,79800,53.17
2011/2/1 22:00,74214,76100,56.197
2011/2/1 23:00,73987,79200,51.8
2011/2/2 0:00,72023,76900,47.16
2011/2/2 1:00,72332,73100,49.001
2011/2/2 2:00,71841,75900,48.612
2011/2/2 3:00,69318,73100,45.735
2011/2/2 4:00,69050,70700,44.61
2011/2/2 5:00,70448,71000,47.934
2011/2/2 6:00,73038,74600,56.349
2011/2/2 7:00,76232,80100,63.737
2011/2/2 8:00,77148,84300,63.088
2011/2/2 9:00,77910,85500,64.169
2011/2/2 10:00,78181,85700,63.466
2011/2/2 11:00,77656,85100,65.729
2011/2/2 12:00,76909,85200,63.278
2011/2/2 13:00,75863,84900,62.296
2011/2/2 14:00,74841,82500,59.443
2011/2/2 15:00,73097,79900,59.406
2011/2/2 16:00,73203,78200,60.676
2011/2/2 17:00,74942,77700,62.283
2011/2/2 18:00,78698,81300,77.201
2011/2/2 19:00,78617,86100,67.54
2011/2/2 20:00,75440,82100,66.187
2011/2/2 21:00,71602,77900,53.195
2011/2/2 22:00,70958,74400,58.907
2011/2/2 23:00,70653,77300,53.506
2011/2/3 0:00,68930,76800,51.177
2011/2/3 1:00,69375,72800,53.023
2011/2/3 2:00,68521,74000,49.419
2011/2/3 3:00,66451,71300,43.687
2011/2/3 4:00,65781,68800,38.954
2011/2/3 5:00,67242,68900,47.539
2011/2/3 6:00,68832,72300,51.859
2011/2/3 7:00,74262,80400,63.334
2011/2/3 8:00,75869,85000,65.405
2011/2/3 9:00,76254,84500,64.994
2011/2/3 10:00,75981,84400,65.194
2011/2/3 11:00,75448,84000,64.491
2011/2/3 12:00,74719,84200,63.684
2011/2/3 13:00,73975,83800,62.277
2011/2/3 14:00,72931,81600,59.496
2011/2/3 15:00,71400,79200,58.066
2011/2/3 16:00,71796,77700,58.362
2011/2/3 17:00,73405,77400,62.355
2011/2/3 18:00,77898,81200,69.795
2011/2/3 19:00,78548,86100,65.294
2011/2/3 20:00,73634,82000,57.491
2011/2/3 21:00,69969,77600,50.73
2011/2/3 22:00,68827,74100,53.028
2011/2/3 23:00,67927,77200,48.742
2011/2/4 0:00,67692,73800,52.503
2011/2/4 1:00,66944,70000,50.646
2011/2/4 2:00,66684,71600,47.198
2011/2/4 3:00,65438,68500,42.003
2011/2/4 4:00,64955,66200,37.556
2011/2/4 5:00,65497,66300,45.242
2011/2/4 6:00,67694,69700,50.37
2011/2/4 7:00,72035,77300,60.466
2011/2/4 8:00,73648,82100,66.131
2011/2/4 9:00,74145,81700,66.749
2011/2/4 10:00,73388,81700,66.493
2011/2/4 11:00,72704,81000,65.496
2011/2/4 12:00,72386,80700,63.015
2011/2/4 13:00,71762,80500,61.267
2011/2/4 14:00,71004,77600,55.461
2011/2/4 15:00,69281,75100,50.533
2011/2/4 16:00,69165,73100,50.49
2011/2/4 17:00,69940,72600,55.56
2011/2/4 18:00,73345,76300,68.824
2011/2/4 19:00,73576,80600,64.209
2011/2/4 20:00,71299,76600,57.997
2011/2/4 21:00,67483,72800,51.178
2011/2/4 22:00,67190,69900,55.35
2011/2/4 23:00,65669,73400,54.237
2011/2/5 0:00,64590,71900,47.83
2011/2/5 1:00,62976,66700,48.299
2011/2/5 2:00,61875,67100,46.89
2011/2/5 3:00,59980,63300,43.375
2011/2/5 4:00,59089,60900,34.975
2011/2/5 5:00,59577,59700,38.525
2011/2/5 6:00,60202,60500,44.276
2011/2/5 7:00,61427,62900,46.501
2011/2/5 8:00,62461,65500,48.7
2011/2/5 9:00,64600,67500,54.605
2011/2/5 10:00,64907,69700,56.189
2011/2/5 11:00,64465,69200,55.028
2011/2/5 12:00,64877,69700,56.014
2011/2/5 13:00,63779,70900,52.328
2011/2/5 14:00,62107,66700,45.873
2011/2/5 15:00,61253,64200,41.001
2011/2/5 16:00,60777,62200,40.327
2011/2/5 17:00,61720,61800,44.392
