date, System load forecast, Zonal COMED load foecast,OT
2013/1/7 2:00,80873,9915,20.676054
2013/1/7 3:00,81488,9864,20.623545
2013/1/7 4:00,83701,9938,20.814485
2013/1/7 5:00,89165,10253,22.594881
2013/1/7 6:00,97728,11024,27.932175
2013/1/7 7:00,103244,12114,32.339606
2013/1/7 8:00,103801,12598,30.886331
2013/1/7 9:00,103137,12685,30.394603
2013/1/7 10:00,102259,12701,29.470438
2013/1/7 11:00,100857,12698,28.750481
2013/1/7 12:00,99362,12627,27.842334
2013/1/7 13:00,98264,12522,27.509109
2013/1/7 14:00,97115,12452,26.846952
2013/1/7 15:00,96930,12345,26.924802
2013/1/7 16:00,99688,12315,27.721054
2013/1/7 17:00,107264,12881,33.302139
2013/1/7 18:00,110197,13543,34.104076
2013/1/7 19:00,109897,13602,32.413719
2013/1/7 20:00,108604,13449,31.737496
2013/1/7 21:00,105190,13188,29.272288
2013/1/7 22:00,99471,12645,27.326565
2013/1/7 23:00,93332,11783,24.548307
2013/1/8 0:00,87613,10980,22.388038
2013/1/8 1:00,85487,10426,21.418307
2013/1/8 2:00,84682,10102,21.425206
2013/1/8 3:00,85070,9946,21.294845
2013/1/8 4:00,87300,9951,21.429757
2013/1/8 5:00,92881,10213,24.20471
2013/1/8 6:00,101541,10909,31.273193
2013/1/8 7:00,106181,11975,33.494456
2013/1/8 8:00,105018,12459,31.940752
2013/1/8 9:00,102538,12513,30.278083
2013/1/8 10:00,100269,12497,29.200295
2013/1/8 11:00,97982,12510,28.121127
2013/1/8 12:00,95670,12426,27.506043
2013/1/8 13:00,94220,12336,27.142001
2013/1/8 14:00,92874,12301,26.584591
2013/1/8 15:00,92440,12214,26.468584
2013/1/8 16:00,95146,12257,27.188882
2013/1/8 17:00,102849,12840,32.011015
2013/1/8 18:00,105566,13436,33.171437
2013/1/8 19:00,105291,13441,31.522447
2013/1/8 20:00,104134,13256,30.478104
2013/1/8 21:00,100833,13005,27.908258
2013/1/8 22:00,95143,12462,25.229911
2013/1/8 23:00,88946,11607,22.975058
2013/1/9 0:00,83463,10591,21.624073
2013/1/9 1:00,81085,10021,20.881304
2013/1/9 2:00,80010,9698,20.352183
2013/1/9 3:00,80175,9526,19.778199
2013/1/9 4:00,82087,9517,19.932648
2013/1/9 5:00,87434,9758,21.996596
2013/1/9 6:00,96196,10449,26.770376
2013/1/9 7:00,101143,11515,30.965283
2013/1/9 8:00,100473,12037,30.216822
2013/1/9 9:00,98691,12107,29.569358
2013/1/9 10:00,97169,12141,28.96459
2013/1/9 11:00,95435,12173,28.024658
2013/1/9 12:00,93681,12138,27.287903
2013/1/9 13:00,92499,12094,26.687027
2013/1/9 14:00,91427,12086,26.27358
2013/1/9 15:00,91072,12044,26.188837
2013/1/9 16:00,93519,12110,26.765194
2013/1/9 17:00,100156,12746,33.429351
2013/1/9 18:00,102363,13327,33.858155
2013/1/9 19:00,101558,13223,32.068716
2013/1/9 20:00,100097,13012,31.043348
2013/1/9 21:00,96687,12728,29.003765
2013/1/9 22:00,91005,12203,27.00355
2013/1/9 23:00,84683,11352,23.900142
2013/1/10 0:00,80366,10571,21.992903
2013/1/10 1:00,77978,10011,21.085777
2013/1/10 2:00,76950,9682,19.784191
2013/1/10 3:00,77095,9504,19.570357
2013/1/10 4:00,78989,9486,19.619722
2013/1/10 5:00,84361,9719,21.288652
2013/1/10 6:00,93245,10408,27.207366
2013/1/10 7:00,98625,11519,30.848052
2013/1/10 8:00,98415,12030,30.167044
2013/1/10 9:00,97159,12113,29.52501
2013/1/10 10:00,96068,12158,28.650803
2013/1/10 11:00,94625,12215,27.219182
2013/1/10 12:00,93068,12153,26.645178
2013/1/10 13:00,91997,12086,26.285561
2013/1/10 14:00,91008,12075,25.72873
2013/1/10 15:00,90786,12005,25.833676
2013/1/10 16:00,93478,12046,26.00981
2013/1/10 17:00,100551,12665,32.4771
2013/1/10 18:00,102604,13229,33.068506
2013/1/10 19:00,101789,13119,30.812571
2013/1/10 20:00,100449,12871,30.220427
2013/1/10 21:00,97088,12576,27.840324
2013/1/10 22:00,91462,12057,25.789495
2013/1/10 23:00,85324,11222,23.481024
2013/1/11 0:00,80420,10165,21.385393
2013/1/11 1:00,77665,9546,20.182975
2013/1/11 2:00,76372,9211,18.608951
2013/1/11 3:00,76191,9005,18.529129
2013/1/11 4:00,77843,8962,18.936755
2013/1/11 5:00,82578,9178,20.658366
2013/1/11 6:00,90840,9819,25.256678
2013/1/11 7:00,96182,10914,29.295739
2013/1/11 8:00,96437,11496,28.722274
2013/1/11 9:00,95445,11608,28.675122
2013/1/11 10:00,94398,11714,29.023841
2013/1/11 11:00,92946,11794,28.07938
2013/1/11 12:00,91314,11767,27.17077
2013/1/11 13:00,90123,11742,26.634119
2013/1/11 14:00,89008,11735,25.859769
2013/1/11 15:00,88529,11666,25.453738
2013/1/11 16:00,90605,11648,26.141905
2013/1/11 17:00,96596,12311,31.065887
2013/1/11 18:00,97187,12785,30.316015
2013/1/11 19:00,95313,12570,28.135178
2013/1/11 20:00,93413,12272,27.243733
2013/1/11 21:00,90522,11918,24.819665
2013/1/11 22:00,85869,11492,23.937759
2013/1/11 23:00,80247,10775,21.04046
2013/1/12 0:00,74039,9859,18.906266
2013/1/12 1:00,70910,9213,16.214237
2013/1/12 2:00,69062,8849,15.056671
2013/1/12 3:00,68245,8610,15.32469
2013/1/12 4:00,68475,8496,14.875748
2013/1/12 5:00,70186,8566,16.148257
2013/1/12 6:00,73222,8822,17.320518
2013/1/12 7:00,76641,9243,21.094812
2013/1/12 8:00,79532,9595,23.051483
2013/1/12 9:00,81334,9915,25.665772
2013/1/12 10:00,81707,10209,25.923108
2013/1/12 11:00,81020,10385,25.635263
2013/1/12 12:00,79829,10418,25.029238
2013/1/12 13:00,78441,10351,23.729251
2013/1/12 14:00,77276,10267,23.696833
2013/1/12 15:00,77240,10259,23.740674
2013/1/12 16:00,79439,10378,24.633989
2013/1/12 17:00,85561,11099,32.841921
2013/1/12 18:00,87006,11677,31.89763
2013/1/12 19:00,85853,11542,30.265774
2013/1/12 20:00,84172,11342,28.675596
2013/1/12 21:00,81507,11149,25.299631
2013/1/12 22:00,77739,10854,23.650848
2013/1/12 23:00,73266,10327,22.568737
2013/1/13 0:00,70060,10154,20.314151
2013/1/13 1:00,67150,9682,17.889287
2013/1/13 2:00,65555,9406,16.25591
2013/1/13 3:00,64745,9243,16.129029
2013/1/13 4:00,64846,9194,16.356723
2013/1/13 5:00,66067,9236,17.654266
2013/1/13 6:00,68176,9368,19.04505
2013/1/13 7:00,70996,9596,21.074733
2013/1/13 8:00,73880,9716,22.701205
2013/1/13 9:00,76040,10011,23.436939
2013/1/13 10:00,76942,10284,23.897567
2013/1/13 11:00,77264,10478,24.0453
2013/1/13 12:00,77356,10557,24.037786
2013/1/13 13:00,77100,10571,23.926661
2013/1/13 14:00,76715,10567,23.564696
2013/1/13 15:00,77303,10624,23.958044
2013/1/13 16:00,80294,10757,25.599214
2013/1/13 17:00,87143,11512,30.857133
2013/1/13 18:00,89044,12362,31.350998
2013/1/13 19:00,88622,12522,30.469183
2013/1/13 20:00,87236,12498,28.997121
2013/1/13 21:00,84062,12348,26.672294
2013/1/13 22:00,79577,12025,24.195361
2013/1/13 23:00,74687,11454,23.038492
2013/1/14 0:00,71609,10751,22.139231
2013/1/14 1:00,69484,10410,21.232326
2013/1/14 2:00,68536,10204,20.839919
2013/1/14 3:00,68700,10166,20.555873
2013/1/14 4:00,70416,10274,20.983661
2013/1/14 5:00,75442,10605,23.034565
2013/1/14 6:00,84237,11387,27.144016
2013/1/14 7:00,90748,12569,30.370352
2013/1/14 8:00,92380,13124,31.222222
2013/1/14 9:00,93261,13151,31.29803
2013/1/14 10:00,93947,13146,31.584201
2013/1/14 11:00,93870,13160,30.794387
2013/1/14 12:00,93410,13052,29.722335
2013/1/14 13:00,93031,12947,29.530447
2013/1/14 14:00,92480,12889,29.020621
2013/1/14 15:00,92563,12812,29.107519
2013/1/14 16:00,95233,12800,30.854242
2013/1/14 17:00,101923,13421,38.973697
2013/1/14 18:00,103887,14228,43.106784
2013/1/14 19:00,103022,14159,37.033681
2013/1/14 20:00,101098,13997,34.771368
2013/1/14 21:00,97337,13769,32.28762
2013/1/14 22:00,91566,13194,28.98235
2013/1/14 23:00,85407,12299,27.088843
2013/1/15 0:00,82173,11637,25.528898
2013/1/15 1:00,79823,11131,24.747885
2013/1/15 2:00,78841,10822,24.046915
2013/1/15 3:00,78973,10678,23.818689
2013/1/15 4:00,80946,10688,24.525357
2013/1/15 5:00,86297,10961,26.721336
2013/1/15 6:00,95502,11683,32.731973
2013/1/15 7:00,101507,12814,36.175964
2013/1/15 8:00,101880,13300,36.264281
2013/1/15 9:00,101350,13280,35.921967
2013/1/15 10:00,100860,13219,35.56602
2013/1/15 11:00,99875,13204,34.930098
2013/1/15 12:00,98736,13091,33.063909
2013/1/15 13:00,97854,12949,31.831222
2013/1/15 14:00,96915,12870,30.43478
2013/1/15 15:00,96859,12743,30.524264
2013/1/15 16:00,99719,12716,31.637467
2013/1/15 17:00,106657,13213,39.345702
2013/1/15 18:00,108809,13968,40.322088
2013/1/15 19:00,108124,14028,37.084133
2013/1/15 20:00,106449,13832,35.373453
2013/1/15 21:00,102750,13550,33.735879
2013/1/15 22:00,96719,12993,29.908656
2013/1/15 23:00,90358,12127,26.810162
2013/1/16 0:00,84758,11430,23.81334
2013/1/16 1:00,82374,10900,23.079995
2013/1/16 2:00,81320,10595,22.530094
2013/1/16 3:00,81359,10447,22.460268
2013/1/16 4:00,83205,10459,22.527121
2013/1/16 5:00,88453,10710,24.193422
2013/1/16 6:00,97379,11385,30.66856
2013/1/16 7:00,102761,12414,33.556119
2013/1/16 8:00,102655,12888,31.971954
2013/1/16 9:00,101364,12876,32.35203
2013/1/16 10:00,100289,12838,31.937609
2013/1/16 11:00,98797,12800,30.612612
2013/1/16 12:00,97286,12688,28.610314
2013/1/16 13:00,96079,12509,27.799875
2013/1/16 14:00,94925,12436,27.005036
2013/1/16 15:00,94435,12299,26.819977
2013/1/16 16:00,96558,12321,28.430975
2013/1/16 17:00,102549,12820,32.888781
2013/1/16 18:00,105373,13498,35.173463
2013/1/16 19:00,104773,13436,32.471141
2013/1/16 20:00,103370,13295,32.044711
2013/1/16 21:00,99939,13039,29.454871
2013/1/16 22:00,94366,12513,27.299654
2013/1/16 23:00,88342,11674,24.161974
2013/1/17 0:00,83136,11138,23.860167
2013/1/17 1:00,80685,10576,23.018562
2013/1/17 2:00,79628,10261,22.649624
2013/1/17 3:00,79722,10100,22.558526
2013/1/17 4:00,81539,10098,22.776874
2013/1/17 5:00,86826,10342,25.006482
2013/1/17 6:00,95867,11002,28.467073
2013/1/17 7:00,101611,12104,33.143225
2013/1/17 8:00,101929,12672,32.046547
2013/1/17 9:00,101416,12761,30.716523
2013/1/17 10:00,100995,12819,30.257465
2013/1/17 11:00,100156,12874,29.711068
2013/1/17 12:00,99049,12798,28.426528
2013/1/17 13:00,98185,12706,28.154023
2013/1/17 14:00,97310,12677,27.675513
2013/1/17 15:00,97101,12585,27.73582
2013/1/17 16:00,99439,12600,29.166184
2013/1/17 17:00,105496,13111,34.049465
2013/1/17 18:00,108272,13750,39.330767
2013/1/17 19:00,107565,13701,34.311986
2013/1/17 20:00,106137,13530,34.105137
2013/1/17 21:00,102704,13250,31.016824
2013/1/17 22:00,97069,12764,29.747107
2013/1/17 23:00,91159,11958,27.69446
2013/1/18 0:00,88769,11550,25.723415
2013/1/18 1:00,86515,10989,24.342837
2013/1/18 2:00,85651,10689,23.815276
2013/1/18 3:00,85817,10520,24.034322
2013/1/18 4:00,87729,10507,24.580858
2013/1/18 5:00,92930,10754,26.785789
2013/1/18 6:00,101616,11391,33.02935
2013/1/18 7:00,107387,12379,36.486996
2013/1/18 8:00,107814,12825,34.205255
2013/1/18 9:00,107158,12817,31.606455
2013/1/18 10:00,106305,12765,30.565432
2013/1/18 11:00,104971,12741,29.023817
2013/1/18 12:00,103428,12610,27.594537
2013/1/18 13:00,101984,12444,27.34985
2013/1/18 14:00,100605,12349,27.148179
2013/1/18 15:00,100054,12198,27.152511
2013/1/18 16:00,101877,12135,27.670287
2013/1/18 17:00,107602,12679,29.049096
2013/1/18 18:00,109986,13280,34.322721
2013/1/18 19:00,108704,13151,30.716767
2013/1/18 20:00,107106,12889,30.648574
2013/1/18 21:00,104181,12629,29.234417
2013/1/18 22:00,99609,12222,28.172367
2013/1/18 23:00,94493,11541,26.34803
2013/1/19 0:00,88434,10651,26.060482
2013/1/19 1:00,85928,10037,25.035943
2013/1/19 2:00,84758,9671,24.707817
2013/1/19 3:00,84432,9448,24.596874
2013/1/19 4:00,85130,9337,24.43117
2013/1/19 5:00,87246,9398,24.831497
2013/1/19 6:00,90776,9667,25.538909
2013/1/19 7:00,94089,10111,27.425178
2013/1/19 8:00,95858,10415,29.363131
2013/1/19 9:00,95711,10625,29.650984
2013/1/19 10:00,94349,10802,29.170622
2013/1/19 11:00,92134,10879,27.385962
2013/1/19 12:00,89628,10807,25.394965
2013/1/19 13:00,87175,10659,24.179596
2013/1/19 14:00,85144,10500,23.966069
2013/1/19 15:00,84580,10430,23.88023
2013/1/19 16:00,86500,10476,24.397443
2013/1/19 17:00,92531,10985,28.439532
2013/1/19 18:00,95023,11643,31.98377
2013/1/19 19:00,94351,11656,29.689017
2013/1/19 20:00,93476,11553,28.199047
2013/1/19 21:00,91126,11437,27.015982
2013/1/19 22:00,87443,11150,26.298697
2013/1/19 23:00,83011,10656,25.047412
2013/1/20 0:00,80008,10336,22.602763
2013/1/20 1:00,77629,9940,21.170082
2013/1/20 2:00,76513,9659,19.748664
2013/1/20 3:00,76193,9511,19.912707
2013/1/20 4:00,76745,9470,19.580549
2013/1/20 5:00,78468,9541,20.529928
2013/1/20 6:00,81225,9716,21.752873
2013/1/20 7:00,84602,10021,24.520552
2013/1/20 8:00,87481,10176,25.264003
2013/1/20 9:00,89363,10446,26.333306
2013/1/20 10:00,89909,10704,26.699795
2013/1/20 11:00,89718,10919,26.746685
2013/1/20 12:00,89333,11004,26.345531
2013/1/20 13:00,88668,11028,25.935855
2013/1/20 14:00,87932,11030,25.787699
2013/1/20 15:00,88282,11047,25.957448
2013/1/20 16:00,90947,11185,27.037505
2013/1/20 17:00,97799,11885,34.558441
2013/1/20 18:00,101494,12759,37.356973
2013/1/20 19:00,101452,12900,34.990088
2013/1/20 20:00,100964,12862,35.103392
2013/1/20 21:00,98217,12733,33.066572
2013/1/20 22:00,94096,12377,29.308475
2013/1/20 23:00,89608,11774,28.349548
2013/1/21 0:00,85585,11008,26.817924
2013/1/21 1:00,84177,10688,26.027812
2013/1/21 2:00,84003,10529,25.471871
2013/1/21 3:00,85039,10515,25.158028
2013/1/21 4:00,87626,10627,25.291434
2013/1/21 5:00,93696,10961,26.13167
2013/1/21 6:00,103401,11766,29.413167
2013/1/21 7:00,109681,13053,32.832976
2013/1/21 8:00,109820,13683,35.496261
2013/1/21 9:00,108546,13762,36.420221
2013/1/21 10:00,107450,13791,36.241347
2013/1/21 11:00,106104,13871,35.178057
2013/1/21 12:00,104672,13798,33.530276
2013/1/21 13:00,103583,13718,31.989733
2013/1/21 14:00,102489,13690,31.105204
2013/1/21 15:00,102330,13604,30.953468
2013/1/21 16:00,104611,13637,32.940739
2013/1/21 17:00,111431,14187,39.557729
2013/1/21 18:00,114974,15082,45.217816
2013/1/21 19:00,114667,15133,38.928464
2013/1/21 20:00,113206,15006,38.416429
2013/1/21 21:00,109502,14768,35.88569
2013/1/21 22:00,103524,14177,31.982479
2013/1/21 23:00,97458,13272,29.422263
2013/1/22 0:00,95013,12490,26.69401
2013/1/22 1:00,93448,12051,25.52057
2013/1/22 2:00,93086,11758,25.322521
2013/1/22 3:00,93807,11653,24.924341
2013/1/22 4:00,96388,11673,25.418199
2013/1/22 5:00,102385,11917,26.745805
2013/1/22 6:00,112034,12674,36.622032
2013/1/22 7:00,117930,13946,53.810541
2013/1/22 8:00,117733,14460,43.662382
2013/1/22 9:00,116723,14447,44.824946
2013/1/22 10:00,115932,14355,42.836981
2013/1/22 11:00,114786,14271,38.702516
2013/1/22 12:00,113443,14145,36.414494
2013/1/22 13:00,112442,13954,35.091485
2013/1/22 14:00,111384,13831,34.26597
2013/1/22 15:00,111140,13643,33.110709
2013/1/22 16:00,113382,13572,35.592953
2013/1/22 17:00,119654,13925,46.696275
2013/1/22 18:00,123972,14853,57.190545
2013/1/22 19:00,124178,15072,50.217612
2013/1/22 20:00,122333,14822,46.582828
2013/1/22 21:00,118153,14472,41.66526
2013/1/22 22:00,111959,13874,36.694126
2013/1/22 23:00,106104,12998,33.001864
2013/1/23 0:00,103558,12267,35.071037
2013/1/23 1:00,102101,11792,33.877704
2013/1/23 2:00,101777,11527,32.938253
2013/1/23 3:00,102401,11418,32.987584
2013/1/23 4:00,104745,11418,33.264861
2013/1/23 5:00,110383,11669,34.769929
2013/1/23 6:00,119349,12375,57.264299
2013/1/23 7:00,124469,13528,78.690328
2013/1/23 8:00,123179,14032,57.104505
2013/1/23 9:00,120421,13965,49.122672
2013/1/23 10:00,118091,13903,48.674192
2013/1/23 11:00,115517,13798,47.543951
2013/1/23 12:00,113056,13681,39.391627
2013/1/23 13:00,111263,13489,36.787432
2013/1/23 14:00,109573,13392,36.343759
2013/1/23 15:00,108913,13220,36.007962
2013/1/23 16:00,110711,13201,38.700456
2013/1/23 17:00,117146,13557,49.95127
2013/1/23 18:00,122190,14394,58.870617
2013/1/23 19:00,122345,14478,45.370674
2013/1/23 20:00,120499,14296,44.171462
2013/1/23 21:00,116526,13992,40.147648
2013/1/23 22:00,110596,13449,36.698562
2013/1/23 23:00,104722,12548,30.658785
2013/1/24 0:00,100687,12001,32.286867
2013/1/24 1:00,98850,11510,29.597904
2013/1/24 2:00,98132,11243,27.452023
2013/1/24 3:00,98478,11118,27.661759
2013/1/24 4:00,100551,11133,29.44955
2013/1/24 5:00,105932,11387,30.854257
2013/1/24 6:00,114931,12091,50.437381
2013/1/24 7:00,120382,13297,68.704286
2013/1/24 8:00,119752,13833,48.988689
2013/1/24 9:00,118097,13822,48.255095
2013/1/24 10:00,116697,13767,49.346608
2013/1/24 11:00,114840,13723,45.210655
2013/1/24 12:00,112985,13616,39.051102
2013/1/24 13:00,111525,13511,38.432203
2013/1/24 14:00,110075,13463,36.928879
2013/1/24 15:00,109505,13339,36.262538
2013/1/24 16:00,111329,13321,40.177973
2013/1/24 17:00,117543,13734,49.847492
2013/1/24 18:00,122382,14480,62.234607
2013/1/24 19:00,122163,14478,53.73482
2013/1/24 20:00,120384,14286,47.039477
2013/1/24 21:00,116566,13947,45.048568
2013/1/24 22:00,110688,13413,38.38452
2013/1/24 23:00,104976,12538,33.888823
2013/1/25 0:00,101050,11524,32.913769
2013/1/25 1:00,99337,11012,28.060367
2013/1/25 2:00,98789,10734,26.389896
2013/1/25 3:00,99210,10559,25.81093
2013/1/25 4:00,101304,10564,27.083152
2013/1/25 5:00,106673,10800,29.952292
2013/1/25 6:00,115529,11468,38.617677
2013/1/25 7:00,120898,12580,65.141233
2013/1/25 8:00,120017,13087,51.670071
2013/1/25 9:00,117622,13096,45.752574
2013/1/25 10:00,115546,13095,43.82767
2013/1/25 11:00,112932,13042,41.845674
2013/1/25 12:00,110492,12919,36.269068
2013/1/25 13:00,108489,12791,33.727024
2013/1/25 14:00,106681,12729,35.342516
2013/1/25 15:00,105829,12603,33.622603
2013/1/25 16:00,107010,12517,35.567896
2013/1/25 17:00,111889,12821,38.363014
2013/1/25 18:00,115224,13467,41.548903
2013/1/25 19:00,114054,13459,36.408321
2013/1/25 20:00,111958,13262,35.89799
2013/1/25 21:00,108686,12988,34.591541
2013/1/25 22:00,103850,12615,31.373421
2013/1/25 23:00,98634,11928,26.473106
2013/1/26 0:00,96291,11466,30.641077
2013/1/26 1:00,94072,10933,27.567987
2013/1/26 2:00,92888,10625,25.314667
2013/1/26 3:00,92682,10435,24.580549
2013/1/26 4:00,93358,10377,25.894161
2013/1/26 5:00,95417,10446,27.423004
2013/1/26 6:00,98756,10728,28.897997
2013/1/26 7:00,102463,11204,32.268237
2013/1/26 8:00,104634,11445,34.989353
2013/1/26 9:00,105150,11610,36.704717
2013/1/26 10:00,104356,11732,35.584151
2013/1/26 11:00,102289,11731,31.200057
2013/1/26 12:00,99883,11626,29.397484
2013/1/26 13:00,97476,11434,28.170233
2013/1/26 14:00,95403,11208,27.616153
2013/1/26 15:00,94763,11046,27.00158
2013/1/26 16:00,96331,11063,28.085245
2013/1/26 17:00,102044,11505,35.997897
2013/1/26 18:00,106317,12334,37.367233
2013/1/26 19:00,106055,12469,35.474103
2013/1/26 20:00,105009,12388,34.097788
2013/1/26 21:00,102634,12242,31.62996
2013/1/26 22:00,99223,11964,30.336081
2013/1/26 23:00,95294,11464,27.336721
2013/1/27 0:00,93310,11117,30.890744
2013/1/27 1:00,91493,10639,28.978869
2013/1/27 2:00,90688,10318,28.773218
2013/1/27 3:00,90770,10150,27.918701
2013/1/27 4:00,91560,10033,27.881792
2013/1/27 5:00,93321,10049,28.645253
2013/1/27 6:00,96070,10203,28.996825
2013/1/27 7:00,98991,10443,29.377814
2013/1/27 8:00,100521,10515,30.932811
2013/1/27 9:00,100240,10637,30.904944
